condition,clahe_clip_limit,clahe_tile_grid,joint_confidence_score
low_light,1.0,8x8,825.012132873004
low_light,2.0,8x8,862.3669325024811
low_light,3.0,8x8,869.4107777798371
low_light,2.0,16x16,813.145566546593
low_light,3.0,16x16,812.9897520271819
motion_blur,1.0,8x8,74.17003219609416
motion_blur,2.0,8x8,78.74683916933945
motion_blur,3.0,8x8,67.55256857110892
motion_blur,2.0,16x16,75.47673486588714
motion_blur,3.0,16x16,58.72762670866945
defocus_blur,1.0,8x8,142.78082764126702
defocus_blur,2.0,8x8,133.09812968062738
defocus_blur,3.0,8x8,119.43945335543356
defocus_blur,2.0,16x16,133.3181029017461
defocus_blur,3.0,16x16,116.12613022322958
