condition,method,ratio_threshold,ransac_threshold_px,keypoints_img2,good_matches,ransac_inliers,matching_score,mean_reprojection_error_px,joint_confidence_score
low_light,SIFT + RANSAC,0.7,1.0,2307,1250,944,0.7552,0.4091942012310028,669.8863784532806
low_light,SIFT + RANSAC,0.7,3.0,2308,1249,1138,0.911128903122498,0.589596152305603,715.9051047962132
low_light,SIFT + RANSAC,0.7,5.0,2307,1250,1158,0.9264,0.6488460898399353,702.3093344706388
low_light,SIFT + RANSAC,0.75,1.0,2307,1326,979,0.7383107088989442,0.41846296191215515,690.1836891675068
low_light,SIFT + RANSAC,0.75,3.0,2306,1327,1179,0.8884702336096458,0.60557621717453,734.3158097314042
low_light,SIFT + RANSAC,0.75,5.0,2306,1327,1200,0.9042954031650339,0.6635732054710388,721.3388602638748
low_light,SIFT + RANSAC,0.8,1.0,2307,1443,1022,0.7082467082467082,0.41125956177711487,724.1757842994215
low_light,SIFT + RANSAC,0.8,3.0,2308,1442,1216,0.8432732316227461,0.5939409136772156,762.8890064655487
low_light,SIFT + RANSAC,0.8,5.0,2306,1443,1244,0.8620928620928621,0.6705306768417358,744.673544308612
motion_blur,SIFT + RANSAC,0.7,1.0,854,294,60,0.20408163265306123,0.6075425744056702,37.32405035815788
motion_blur,SIFT + RANSAC,0.7,3.0,854,294,195,0.6632653061224489,1.5406873226165771,76.7508847956841
motion_blur,SIFT + RANSAC,0.7,5.0,854,294,243,0.826530612244898,1.897659420967102,83.86078717246144
motion_blur,SIFT + RANSAC,0.75,1.0,854,353,62,0.17563739376770537,0.6348227858543396,37.92459986273039
motion_blur,SIFT + RANSAC,0.75,3.0,854,353,192,0.5439093484419264,1.487930178642273,77.17258371968433
motion_blur,SIFT + RANSAC,0.75,5.0,854,353,263,0.7450424929178471,2.0010526180267334,87.6359176177754
motion_blur,SIFT + RANSAC,0.8,1.0,854,464,65,0.1400862068965517,0.5819815397262573,41.08771080302711
motion_blur,SIFT + RANSAC,0.8,3.0,854,464,216,0.46551724137931033,1.6570676565170288,81.29262326844167
motion_blur,SIFT + RANSAC,0.8,5.0,854,464,274,0.5905172413793104,2.045759916305542,89.96112875907751
defocus_blur,SIFT + RANSAC,0.7,1.0,860,377,118,0.3129973474801061,0.5536402463912964,75.9506586380492
defocus_blur,SIFT + RANSAC,0.7,3.0,860,376,295,0.7845744680851063,1.2506589889526367,131.07272201075685
defocus_blur,SIFT + RANSAC,0.7,5.0,859,376,322,0.8563829787234043,1.3927415609359741,134.57366447634342
defocus_blur,SIFT + RANSAC,0.75,1.0,859,430,137,0.3186046511627907,0.5742762684822083,87.02411561605034
defocus_blur,SIFT + RANSAC,0.75,3.0,859,430,316,0.7348837209302326,1.16094172000885,146.23254161556278
defocus_blur,SIFT + RANSAC,0.75,5.0,860,430,346,0.8046511627906977,1.3683297634124756,146.0945200052952
defocus_blur,SIFT + RANSAC,0.8,1.0,859,542,151,0.2785977859778598,0.5614937543869019,96.70227599423731
defocus_blur,SIFT + RANSAC,0.8,3.0,860,541,332,0.6136783733826248,1.2014777660369873,150.80779153071038
defocus_blur,SIFT + RANSAC,0.8,5.0,859,542,369,0.6808118081180812,1.4064302444458008,153.3391632072761
