sequence,pair,method,use_clahe,ratio_threshold,ransac_threshold_px,good_matches,ransac_inliers,matching_score,mean_reprojection_error_px,joint_confidence_score
i_ajuntament,1-2,SIFT + RANSAC (no CLAHE),False,0.75,3.0,348,284,0.8160919540229885,0.6718658804893494,169.8700854621629
i_ajuntament,1-3,SIFT + RANSAC (no CLAHE),False,0.75,3.0,64,13,0.203125,0.7859182953834534,7.279168388388551
i_ajuntament,1-4,SIFT + RANSAC (no CLAHE),False,0.75,3.0,38,7,0.18421052631578946,0.14184372127056122,6.130436126767773
i_ajuntament,1-5,SIFT + RANSAC (no CLAHE),False,0.75,3.0,79,21,0.26582278481012656,0.05043898895382881,19.991641800077012
i_ajuntament,1-6,SIFT + RANSAC (no CLAHE),False,0.75,3.0,33,5,0.15151515151515152,1.214707612991333,2.257634357993949
i_ajuntament,1-2,CLAHE + SIFT + RANSAC,True,0.75,3.0,562,474,0.8434163701067615,0.6882516145706177,280.76383633168035
i_ajuntament,1-3,CLAHE + SIFT + RANSAC,True,0.75,3.0,74,36,0.4864864864864865,1.1078276634216309,17.07919514708394
i_ajuntament,1-4,CLAHE + SIFT + RANSAC,True,0.75,3.0,62,8,0.12903225806451613,0.8147083520889282,4.408421877152394
i_ajuntament,1-5,CLAHE + SIFT + RANSAC,True,0.75,3.0,49,12,0.24489795918367346,0.8273488879203796,6.566890471395771
i_ajuntament,1-6,CLAHE + SIFT + RANSAC,True,0.75,3.0,64,13,0.203125,1.052271842956543,6.334443482531995
v_bark,1-2,SIFT + RANSAC (no CLAHE),False,0.75,3.0,591,578,0.9780033840947546,0.6438682079315186,351.60969547996683
v_bark,1-3,SIFT + RANSAC (no CLAHE),False,0.75,3.0,512,509,0.994140625,0.44033950567245483,353.3889044877388
v_bark,1-4,SIFT + RANSAC (no CLAHE),False,0.75,3.0,686,672,0.9795918367346939,0.13838735222816467,590.3087369028608
v_bark,1-5,SIFT + RANSAC (no CLAHE),False,0.75,3.0,445,439,0.9865168539325843,0.15340548753738403,380.61202651055635
v_bark,1-6,SIFT + RANSAC (no CLAHE),False,0.75,3.0,259,249,0.9613899613899614,0.11681657284498215,222.95514416095796
v_bark,1-2,CLAHE + SIFT + RANSAC,True,0.75,3.0,1263,1243,0.9841646872525732,0.6707783937454224,743.9646123346964
v_bark,1-3,CLAHE + SIFT + RANSAC,True,0.75,3.0,921,906,0.9837133550488599,0.4624009430408478,619.5291409728623
v_bark,1-4,CLAHE + SIFT + RANSAC,True,0.75,3.0,972,953,0.9804526748971193,0.17302972078323364,812.4261330426312
v_bark,1-5,CLAHE + SIFT + RANSAC,True,0.75,3.0,636,619,0.9732704402515723,0.1844782531261444,522.5929630757669
v_bark,1-6,CLAHE + SIFT + RANSAC,True,0.75,3.0,357,339,0.9495798319327731,0.1503736972808838,294.6868489789777
